clinic_name,address,district,neighborhood,services_offered,operating_days,operating_hours,contact_info,latitude,longitude,accessibility_features,data_source
Kleintierpraxis Jan Schneider,"Großbeerenstraße 169-171, 12277.0 Berlin",Tempelhof-Schöneberg,Mariendorf,,,"Mo,We,Fr 10:00-13:00,15:00-19:00; Tu,Th 17:00-21:00; Sa-Su 11:00-14:00",Phone: +49 30 29032092 | Website: https://www.kleintierpraxis-schneider.com/,52.428896,13.3758384,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Oldenburger Straße,"Oldenburger Straße 44, 10551.0 Berlin",Mitte,Moabit,,,"Mo 10:00-12:00,15:00-18:00; Tu 10:00-14:00,18:00-20:00; We 10:00-12:00,15:00-18:00; Th 10:00-14:00,18:00-20:00; Fr 10:00-12:00,15:00-18:00; Sa 09:00-11:00",Phone: +49303951555 | Website: https://www.tierarztpraxis-oldenburger-strasse.de,52.5289464,13.3357023,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Burgerpark,"Wilhelm-Kuhr-Straße 1, 13187.0 Berlin",Pankow,Pankow,,,"Mo,We 14:00-19:00; Tu,Th 09:00-14:00; Fr 10:00-15:00",Phone: +49 30 48479400 | Website: https://www.tierarzt-pankow.de/,52.5694182,13.4001258,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
"Veterinary clinic - Wattstraße 10, 13629.0","Wattstraße 10, 13629.0",Spandau,Siemensstadt,,,,,52.5373732,13.2664047,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis,"Max-Steinke-Straße 2, 13086.0 Berlin",Pankow,Weißensee,,Mon–Fri,"Mo-Fr 09:00-11:00, Mo,Tu,Th,Fr 16:00-18:00, Sa 10:00-12:00",Phone: +49 30 9252160,52.5488636,13.4513273,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Kleintierpraxis Ralf Boxhammer,"Zingster Straße 5, 13051.0",Lichtenberg,Neu-Hohenschönhausen,,,,Phone: +49 30 9206644 | Website: http://www.ta-boxhammer.de,52.5640461,13.5033148,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Ralf Neuer,"Fischerinsel 2, 10179.0 Berlin",Mitte,Mitte,,,,,52.5140108,13.408851,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Vets for cats,"Bayerischer Platz 2, 10779.0 Berlin",Tempelhof-Schöneberg,Schöneberg,,Mon–Fri,"Mo-Fr 09:00-20:00; We 09:00-14:00; Sa,Su 10:00-12:00; PH off",Phone: +49 30 34398877 | Email: info@vetsforcats.de | Website: https://www.vetsforcats.de/,52.4897098,13.3392413,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Lenk,"Schönfließer Straße 1, nan",Pankow,Prenzlauer Berg,,Mon–Fri,"Mo-Fr 08:00-19:00, Sa 09:00-18:00, Su 10:00-18:00",Phone: +49304469769 | Email: info@tierarztpraxis-lenk.de | Website: https://tierarztpraxis-lenk.de/,52.5502349,13.408248,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Mauerpark,nan,Pankow,Prenzlauer Berg,,Mon–Fri,Mo-Fr 09:00-19:00,,52.5470756,13.4082736,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Chung & Wahle,"Hauptstraße 89, 12159.0 Berlin",Tempelhof-Schöneberg,Schöneberg,,,"Mo,Fr 09:00-18:00; Tu,Th 09:00-20:00; We,Sa 09:00-14:00",Phone: +49 30 8593215 | Email: info@tierarztpraxis-chung-wahle.com | Website: https://tierarztpraxis-chung-wahle.com/,52.4751968,13.3401022,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Dr. Klaus Lendner,nan,Tempelhof-Schöneberg,Schöneberg,,,"Mo,Tu,Th,Fr 09:00-12:00,16:00-19:00; We,Sa 09:00-12:00",,52.4990938,13.344571,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Martyna Pohnke Tierarzt,"Ostpreußendamm 65, nan",Steglitz-Zehlendorf,Lichterfelde,,Mon–Fri,"Mo-Fr 09:00-12:00, Mo 16:00-19:00, Th 16:00-20:00",Phone: +49 30 75765970,52.4212925,13.3101216,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. Miriam Oczipka,"Mindener Straße 22, 10589.0 Berlin",Charlottenburg-Wilmersdorf,Charlottenburg,,Mon–Fri,"Mo-Fr 09:00-12:00,16:00-19:00; Sa 11:00-13:00",Phone: +49303441864,52.5247542,13.3008749,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. med. vet. Sven Albrecht,"Baumschulenstraße 34, 12437.0 Berlin",Treptow-Köpenick,Baumschulenweg,,,"Mo,We,Fr 09:00-12:00,15:00-19:00; Tu,Th 09:00-12:00,13:00-15:00",,52.4637752,13.4852571,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. Wegeler,nan,Tempelhof-Schöneberg,Lichtenrade,,,"""nach Vereinbarung""",Phone: +49 307956044,52.3889212,13.3905608,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Hohenzollerndamm 3,"Hohenzollerndamm 3, 10717.0 Berlin",Charlottenburg-Wilmersdorf,Wilmersdorf,,,"Mo-Tu,Th-Fr 10:00-12:30,17:00-19:00; We 18:00-20:00; Sa 11:00-13:00",Phone: +49 30 88679111 | Email: tierarztpraxis@hohenzollerndamm-3.de | Website: https://tierarztpraxis-hohenzollerndamm-3.de/,52.4954404,13.3293192,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Anke Meeuw,nan,Lichtenberg,Karlshorst,,,"Mo,We 09:00-19:00; Tu 07:30-14:00; Th 10:00-21:00; Fr 09:00-12:00; Sa 10:00-15:00",Phone: +49 30 96 59 96 52 | Email: praxis@tierarzt-karlshorst.info | Website: http://www.tierarzt-karlshorst.info/willkommen.html,52.4800707,13.5205309,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Sonnenallee,"Sonnenallee 204, 12059.0 Berlin",Neukölln,Neukölln,,Mon–Fri,"Mo-Fr 09:00-12:00,16:00-20:00; Sa 11:00-13:00 || ""und nach Vereinbarung""",Phone: +49 30 6814455 | Email: post@tierarztpraxis-sonnenallee.de | Website: https://tierarztpraxis-sonnenallee.de/,52.4748376,13.4534973,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Laskawy,"Bänschstraße 58, nan Berlin",Friedrichshain-Kreuzberg,Friedrichshain,,,"Mo,We 14:00-19:00; Tu,Th 08:00-13:00; Fr 08:00-13:00,14:00-19:00",Phone: +49 30 4267684 | Website: http://www.laskawy-berlin.de,52.5177488,13.4661107,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
neko Tiergesundheit,"Provinzstraße 47, nan",Reinickendorf,Reinickendorf,,,"Mo 15:00-18:00, Tu 10:00-13:00, We 10:00-15:00, Fr 10:00-15:00, Tu 15:00-19:00, Th 15:00-19:00",Phone: +49 30 54814390 | Website: https://www.neko-tiergesundheit.de,52.5687932,13.3794234,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Kleintierpraxis Dirk Oschika,"Krossener Straße 35A, 10245.0 Berlin",Friedrichshain-Kreuzberg,Friedrichshain,,,"Mo,Tu,Th 09:00-11:00,15:00-19:00",Phone: +49 30 2946333 | Website: http://www.doschika.de/,52.5094514,13.4645357,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Vogelpraxis,"Mierendorffstraße 23, 10589.0 Berlin",Charlottenburg-Wilmersdorf,Charlottenburg,,,,Phone: +49 30 34902843 | Email: info@vogelpraxis.de | Website: https://vogelpraxis.de/,52.5241017,13.3024823,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Rex Tierarztpraxis,"Greifswalder Straße 204, 10405.0 Berlin",Pankow,Prenzlauer Berg,,Mon–Fri,Mo-Fr 08:00-20:00; Sa 09:00-16:00,,52.5333026,13.4292251,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Fahrpraxis Feske,"Allmendeweg 116, 13509.0 Berlin",Reinickendorf,Tegel,,Mon–Fri,"Mo-Fr 08:00-20:00 open ""telefonisch erreichbar""",Phone: +49 30 40571512 | Website: https://www.tierarzt-feske.de/,52.6047279,13.298452,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Claudia Handke,"Danziger Straße 15, 10435.0 Berlin",Pankow,Prenzlauer Berg,,,"Mo,Th,Fr 10:00-12:00, Tu,We 10:00-15:00, Mo 16:00-20:00, Th 16:00-19:00, Fr 16:00-18:00, Sa 11:00-13:00",Phone: +49 30 4421760 | Email: post@tierarztpraxis-prenzlauerberg.de | Website: https://www.tierarztpraxis-prenzlauerberg.de,52.5407903,13.4154364,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. Angelika Block,nan,Charlottenburg-Wilmersdorf,Halensee,,,"Mo-Tu 10:00-12:00,16:00-18:30; We 16:00-18:30; Th-Fr 10:00-12:00,16:00-18:30; Sa 10:00-12:00",Website: http://ta-block.weebly.com,52.4955514,13.2968989,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Lorenz,nan,Steglitz-Zehlendorf,Lichterfelde,,,,Website: https://www.tierarzt-lichterfelde.de/,52.4183404,13.3320075,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Wolf & Tiger,"Lauterstraße 12, 12159.0 Berlin",Tempelhof-Schöneberg,Friedenau,,,,Phone: +49 175 7366718 | Website: https://www.wolfandtiger.de/,52.4726236,13.33503,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Denisse Barrera,"Karl-Marx-Straße 133, 12043.0 Berlin",Neukölln,Neukölln,,,Mo-Sa 16:00-20:00,Phone: +49 30 6812161,52.4774124,13.439113,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Angelika Weber,"Kundrystraße 2, 12159.0 Berlin",Tempelhof-Schöneberg,Friedenau,,,"Mo-Sa 10:00-12:00, Tu 16:00-19:00, Su 13:00-14:00",,52.4741292,13.3293259,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis S. Lattermann,"Transvaalstraße 14, 13351.0 Berlin",Mitte,Wedding,,,"Mo,We 08:00-14:00,13:30-18:30; Tu,Th-Fr 14:00-20:00; PH closed",Phone: +49 30 45290790 | Website: http://www.tierarzt-wedding.de/,52.5519001,13.3411969,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Otto Suhr,nan,Charlottenburg-Wilmersdorf,Charlottenburg,,Mon–Fri,Mo-Fr 09:00-19:00,,52.5150531,13.3130502,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Veterinary clinic - nan,nan,Pankow,Wilhelmsruh,,,,,52.5877876,13.3651552,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis B. Migdal,"Grazer Platz 12, 12157.0 Berlin",Tempelhof-Schöneberg,Schöneberg,,,"Mo,We 10:00-16:00; Tu,Th 16:00-20:00; Fr 12:00-18:00",,52.4667894,13.3465937,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Silke Sanft,"Florastraße 6, 12163.0 Berlin",Steglitz-Zehlendorf,Steglitz,,,"Mo,Tu,Th,Fr 09:00-19:00; We,Sa 09:00-12:00",Website: http://www.tierarztpraxis-sanft.de,52.4613066,13.3269746,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Rex,"Südwestkorso 11a, 12161.0 Berlin",Tempelhof-Schöneberg,Friedenau,,,"""Sprechzeiten nach Vereinbarung""",Website: https://www.rex.app/ / https://www.tierarztpraxis-schluesing.de/,52.474559,13.3227841,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Schlachtensee,"Breisgauer Straße 3, 14129.0 Berlin",Steglitz-Zehlendorf,Zehlendorf,,,"Mo-Th 09:00-13:00; We,Fr 14:00-18:00; Sa 10:00-14:00",Phone: +49 30 80905830 | Email: info@tierarztpraxis-am-schlachtensee.de | Website: https://www.tierarztpraxis-am-schlachtensee.de,52.4391475,13.215708,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Hermannplatz,"Lucy-Lameck-Straße 1, 12049.0 Berlin",Neukölln,Neukölln,,,,Website: https://www.tierarztpraxis-am-hermannplatz.de,52.4863263,13.4233555,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. L. Chelminski,nan,Reinickendorf,Reinickendorf,,,"Mo-Tu,Th-Fr,Su 08:30-11:00,15:30-17:30",Phone: +49 30 4954038,52.5691003,13.3612016,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis PD Dr. med. vet. Thomas Göbel,"Blissestraße 68, 10713.0 Berlin",Charlottenburg-Wilmersdorf,Wilmersdorf,,,,Website: https://www.tierarzt-goebel.de/,52.4789701,13.3200646,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Berliner Tierarztpraxis,"Mansfelder Straße 19, 10713.0 Berlin",Charlottenburg-Wilmersdorf,Wilmersdorf,,,,Website: https://www.berliner-tierarztpraxis.de/,52.4888413,13.3110131,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Naturheilkunde für Tiere,"Bornimer Straße 6, 10711.0 Berlin",Charlottenburg-Wilmersdorf,Halensee,,,,,52.4961991,13.2853794,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierärztliche Gemeinschaftspraxis Blessing & Richter,"Quickborner Straße 76, 13439.0 Berlin",Reinickendorf,Märkisches Viertel,,Mon–Fri,Mo-Fr 09:00-19:00; Sa 09:00-11:00; Su off,Phone: +49 30 40710151 | Email: info@ta-blessing-richter.de | Website: https://ta-blessing-richter.de/,52.6045044,13.3664162,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Katharina Dralle,"Rotdornstraße 7, 12161.0 Berlin",Tempelhof-Schöneberg,Friedenau,,,,Phone: +49 30 8527705 | Website: https://www.dr-dralle-berlin.de/,52.4709098,13.3254977,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Matthias Müller,"Berliner Straße 11, 13467.0 Berlin",Reinickendorf,Hermsdorf,,Mon–Fri,"Mo-Fr 11:00-13:00, 18:00-20:00; Sa-Su11:00-13:00; PH 11:00-13:00",Phone: +49 30 4034440 | Website: https://tierarzt-matthiasmueller.de/,52.6139984,13.316783,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Galina Schirow GmbH,"Bartningallee 5, 10557.0 Berlin",Mitte,Hansaviertel,,Mon–Fri,"Mo-Fr 10:00-13:00,16:00-19:00",Phone: +49 30 39886966 | Website: https://www.vetpraxis-schirow.de/,52.5189471,13.3427257,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. Kurt Helmich;Dr. Dieter Oelke,"Kufsteiner Straße 22, 10825.0 Berlin",Charlottenburg-Wilmersdorf,Wilmersdorf,,,,Website: https://tiermedizinzentrum.de/,52.4854474,13.3367552,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Am Schlosspark,nan,Pankow,Niederschönhausen,,Mon–Fri,"Mo-Fr 10:00-12:00,16:00-19:00; Sa 10:00-12:00",Phone: +49 30 475 316 93 | Website: https://tierarzt-schlosspark.de/,52.5826045,13.40387,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierärztliche Gemeinschaftspraxis für Kleintiere,"Birnhornweg 3, 12107.0 Berlin",Tempelhof-Schöneberg,Mariendorf,,,,,52.4240806,13.3948851,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierärzte-Kreuzberg,"Liegnitzer Straße 19, 10999.0 Berlin",Friedrichshain-Kreuzberg,Kreuzberg,,Mon–Fri,"Mo-Fr 10:00-24:00,16:00-20:00; PH,Sa,Su 10:00-24:00",Phone: +49 30 6126474 | Email: tierarztpraxis.liegnitzerstr@t-online.de | Website: http://www.tieraerzte-kreuzberg.de,52.4929733,13.4338357,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Dr. Dirk Mauch,"Elsa-Brändström-Straße 13, 13189.0 Berlin",Pankow,Pankow,,,,Phone: +49 30 4710133 | Website: http://www.elsavet.de/,52.5600099,13.4154386,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Amalienpark,nan,Pankow,Pankow,,,"Mo,Tu,Th 09:00-12:00,15:00-18:00; We 09:00-12:00; Fr 09:00-15:00",Website: https://www.tierarztpraxis-amalienpark.de/,52.5721186,13.4135786,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Sarah Watson,"Altenbraker Straße 29, 12051.0 Berlin",Neukölln,Neukölln,,,"We,Fr 09:00-15:00; Sa 10:00-12:00; Mo 09:00-17:00; Tu,Th 11:00-19:00",Phone: +49 30 6257209 | Email: info@tierarzt-watson.de | Website: https://www.tierarzt-watson.de/,52.468653,13.4330363,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
4 Pfoten,"Fanningerstraße 27, 10365.0 Berlin",Lichtenberg,Lichtenberg,,,"Mo 09:00-12:00,16:00-18:00; Tu 17:00-20:00; We 09:00-12:00; Th 09:00-12:00,16:00-18:00; Fr 09:00-12:00,14:00-16:00",Phone: +49 30 553 15 72 | Website: https://www.praxis4pfoten.de/,52.5143907,13.4951561,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Friedrichshain,"Auerstraße 44, 10249.0 Berlin",Friedrichshain-Kreuzberg,Friedrichshain,,,Mo 09:00-15:00; Tu-We 12:00-15:00; Th 10:30-15:00; Fr 09:00-15:00,Phone: +49 30 78 08 34 85 | Website: https://www.tierarztpraxis-friedrichshain.de,52.5208823,13.4462478,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Praxis für Kleintiermedizin Janine Lenk,"Eschengraben 47, 13189.0 Berlin",Pankow,Pankow,,,"Mo,Tu,Th 13:00-19:00; We 17:00-21:00; Fr 10:00-14:00",Phone: +49 30 91203200 | Website: https://www.kleintiermedizin-lenk.de,52.556357,13.4245524,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Peter Vogel,"Finowstraße 14, nan",Friedrichshain-Kreuzberg,Friedrichshain,,,"Tu, We 10:00-15:00; Th 10:00-12:00; Mo, Fr 10:00-12:00, 16:00-19:00",Phone: +49 30 29776835 | Website: https://www.drpetervogel.de/,52.5111185,13.4668484,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. Karin Block,"Zimmermannstraße 16, 12163.0 Berlin",Steglitz-Zehlendorf,Steglitz,,,,,52.4607219,13.3195225,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis im Komponistenviertel,"Bizetstraße 48, 13088.0 Berlin",Pankow,Weißensee,,,Mo-Sa 10:00-12:00; Mo-Tu 16:00-19:00; Th-Fr 16:00-19:00,Phone: +49309273441 | Website: https://www.tierarztpraxis-peters-weissensee.de/,52.5476848,13.4541052,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Lankwitz,"Bruchwitzstraße 30, 12247.0 Berlin",Steglitz-Zehlendorf,Lankwitz,,,"Mo-Tu,Th-Fr 10:00-13:00,15:00-18:00; We,Sa 09:00-12:00",Phone: +49 30 77208260 | Email: info@tierarztpraxis-lankwitz.de | Website: https://www.tierarztpraxis-lankwitz.de/,52.4370703,13.349587,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierärztliche Praxis Beck,"Weichselstraße 25, 12045.0 Berlin",Neukölln,Neukölln,,Mon–Fri,"Mo-Fr 09:00-11:00,15:00-19:00",Phone: +49 30 6239664,52.4870325,13.4368022,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Marion Bickert,"Marchandstraße 38, 12249.0 Berlin",Steglitz-Zehlendorf,Lankwitz,,Mon–Fri,"Mo-Fr 09:00-11:00,16:00-18:00; Sa 09:30-10:30",Phone: +49 30 7755462 | Email: office@tierarztpraxis-bickert.de | Website: https://www.tierarztpraxis-bickert.de,52.4227865,13.3566908,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Teresa Lankes,nan,Charlottenburg-Wilmersdorf,Charlottenburg,,Mon–Fri,"Mo,We,Fr 09:00-11:00, Mo-Fr 16:00-18:00",,52.5133005,13.2937818,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Patrick O. Bolz,nan,Neukölln,Britz,,Mon–Fri,"Mo-Fr 10:00-12:00,16:00-19:00; PH,Sa,Su 10:00-12:00",,52.4564344,13.4367908,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Kaulsdorf-Süd,nan,Marzahn-Hellersdorf,Kaulsdorf,,,"Tu,Th,Sa 10:00-12:00, Mo,Tu,Th 15:00-20:00, We,Fr 15:00-19:00; PH off",Phone: +49 30 5666176 | Email: juraske@tierarztpraxis-kaulsdorf-sued.de | Website: https://tierarztpraxis-kaulsdorf-sued.de/,52.486422,13.5746936,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Gasteiner Straße,"Gasteiner Straße 33, 10717.0 Berlin",Charlottenburg-Wilmersdorf,Wilmersdorf,,,,Website: https://tierarztpraxis-gasteiner-strasse.de/,52.4872926,13.3259046,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Veterinary clinic - nan,nan,Marzahn-Hellersdorf,Mahlsdorf,,,,,52.4873166,13.6046801,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Valera,nan,Steglitz-Zehlendorf,Zehlendorf,,Mon–Sun,24/7,Website: https://valera.vet/,52.4338095,13.2466898,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Tierheim Berlin,"Hausvaterweg 39, nan",Lichtenberg,Falkenberg,,Mon–Fri,"Mo-Fr 10:00-20:00; Sa,Su 10:00-17:00; PH 11:00-14:00",Phone: +493093662200 | Email: info@tierarztpraxis-am-tierheim.de | Website: https://tierarztpraxis-am-tierheim.de/,52.5743133,13.5465736,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Praxis für Tierzahnheilkunde,"Soorstraße 76, 14050.0 Berlin",Charlottenburg-Wilmersdorf,Westend,,,"""nach Vereinbarung""",Website: https://rux.vet/,52.5134999,13.2774866,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Birkenstein  Dr. med. vet H. Fuhrmann und Team,nan,Marzahn-Hellersdorf,Mahlsdorf,,Mon–Fri,"Mo-Fr 09:30-11:00, Mo,Tu,Th,Fr 16:30-19:00, Sa 14:00-16:00",,52.5211838,13.6465809,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Alt-Buch,"Alt-Buch 57, 13125.0 Berlin",Pankow,Buch,,,"Mo,Fr 09:00-16:00; Tu-Th 09:00-12:00, Tu,Th 16:00-19:00; Sa[1] 10:00-12:00; PH off",Phone: +4930 911 42 778 | Website: https://www.tierarztpraxis-alt-buch.de/,52.636563,13.5022262,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Ute Teutenberg,nan,Spandau,Falkenhagener Feld,,Mon–Fri,"Mo-Fr 08:00-12:00,15:00-18:00; We 08:00-12:00,17:00-20:00",Phone: +49 30 37588910,52.5507862,13.1685048,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarzt Bello & Co.,nan,Neukölln,Rudow,,,,Website: https://belloundco.de/,52.425741,13.4838753,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Dr. Pollmann,"Berliner Straße 17, nan",Steglitz-Zehlendorf,Zehlendorf,,,"Tu, Th 09:00-15:00; We, Fr 13:00-19:00; Sa 11:00-16:00",Phone: +493081099440 | Website: https://tierarztpraxis-pollmann.de,52.4361962,13.2660844,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. Fenina + Burwieck,"Manteuffelstraße 74, 12103.0",Tempelhof-Schöneberg,Tempelhof,,,,Phone: +493063314227 | Website: https://meintierarzt.berlin,52.4678078,13.3783605,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Rex,nan,Friedrichshain-Kreuzberg,Friedrichshain,,Mon–Fri,Mo-Fr 08:00-20:00,Website: https://www.rex.app/,52.5073508,13.4569833,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierärztliche Gemeinschaftspraxis,"Hohenzollerndamm 185, 10713.0 Berlin",Charlottenburg-Wilmersdorf,Wilmersdorf,,,,Website: https://www.tierarztpraxis-berlin.net/,52.491509,13.3183436,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Rex Tierarztpraxis,"Hermannstraße 227, 12049.0 Berlin",Neukölln,Neukölln,,,Mo-Sa 08:00-20:00,,52.4807206,13.425592,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Kleintierkardiologie Tempelhof,"Burgemeisterstraße 34, 12103.0 Berlin",Tempelhof-Schöneberg,Tempelhof,,,Mo-Th 08:00-18:00; PH off,Phone: +49 30 47006869 | Website: https://www.kardiobewegt.berlin/,52.4583689,13.3734169,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Kutzner,"Zum Kappgraben 13, 13125.0 Berlin",Pankow,Karow,,,"Mo-We,Fr 09:00-12:00,16:30-19:30; Th,Sa 09:00-12:00",Phone: +49 30 94382030 | Website: https://tierarzt-kutzner.de/,52.6164598,13.4890268,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
